store,name,product-link,price,category,image_url,common_category
Metro,Chef Non-Stick Fry Pan (22cm),https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/chef-non-stick-fry-pan-(22cm)/12634436,"Rs. 3,199",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,Deli Tumbler Glass 365 ML 6 Pieces,https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/glassware/deli-tumbler-glass-365-ml-6-pieces/2063650,Rs. 849,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,Deli Tumbler Glass 290 ML 6 Pieces,https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/glassware/deli-tumbler-glass-290-ml-6-pieces/2063649,Rs. 799,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,Deli Tumbler Glass 315 ML 6 Pieces,https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/glassware/deli-tumbler-glass-315-ml-6-pieces/2063647,Rs. 849,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,Cocomo Triple Chocolate Pouch,https://www.metro-online.pk/detail/grocery/snacks/biscuits-and-wafers/biscuits-and-cookies/cocomo-triple-chocolate-pouch/31790440,Rs. 49,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Fruit Farm Apple Juice 200mlX24,https://www.metro-online.pk/detail/beverages/juices/fruit-farm-apple-juice-200mlx24/35434965,Rs. 880,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,Tapal Danedar Black Tea 1600GM,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-danedar-black-tea-1600gm/12641734,"Rs. 3,199",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Machos Tortilla Chips Hot 40G,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/machos-tortilla-chips-hot-40g/99164260,Rs. 79,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Machos Tortilla Chips Sweet Thai Chilichanga,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/machos-tortilla-chips-sweet-thai-chilichanga/99371258,Rs. 79,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Machos Tortilla Chips Cheese 4,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/machos-tortilla-chips-cheese-4/98839131,Rs. 79,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Peek Freans Rio Strawberry and Vanilla Ticky Pack,https://www.metro-online.pk/detail/grocery/snacks/biscuits-and-wafers/biscuits-and-cookies/peek-freans-rio-strawberry-and-vanilla-ticky-pack-/12621709,Rs. 240,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Lemon Sandwich Biscuits Ticky Pack Box,https://www.metro-online.pk/detail/grocery/snacks/biscuits-and-wafers/biscuits-and-cookies/lemon-sandwich-biscuits-ticky-pack-box/12634654,Rs. 239,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Dalda Cooking Oil 1L x5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/dalda-cooking-oil-1l-x5/12631464,"Rs. 2,880",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Dalda Banaspati Ghee 1KG X5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/dalda-banaspati-ghee-1kg-x5/12620064,"Rs. 2,880",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Rafhan Corn Oil Tin 16 L,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/rafhan-corn-oil-tin-16-l/12625313,"Rs. 14,320",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Cooking Oils
Metro,OK Cooking Oil 1Litre,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/ok-cooking-oil-1litre/12620931,Rs. 506,oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,OK Cooking Oil 1LTR x5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/ok-cooking-oil-1ltr-x5/12620566,"Rs. 2,502",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,OK Banaspati Ghee 1 KG,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/ok-banaspati-ghee-1-kg-/12620749,Rs. 526,oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Metro Chef Extra Virgin Olive Oil 750 ML,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/metro-chef-extra-virgin-olive-oil-750-ml/12621694,"Rs. 2,950",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Metro Chef Extra Virgin Olive Oil 5 Ltr,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/metro-chef-extra-virgin-olive-oil-5-ltr/12624593,"Rs. 17,500",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Metro Chef Pomace Olive Oil 5 LTR,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/metro-chef-pomace-olive-oil-5-ltr/12623752,"Rs. 7,500",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Shahtaj Cooking Oil 1X5Ltr,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/shahtaj-cooking-oil-1x5ltr/67172077,"Rs. 2,437",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Shahtaj Banaspati Ghee 1X5Kg,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/shahtaj-banaspati-ghee-1x5kg/67172079,"Rs. 2,437",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Shahtaj Canola Oil Stand Up Pouch 1X5 Ltr,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/shahtaj-canola-oil-stand-up-pouch-1x5-ltr-/67172080,"Rs. 2,750",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Shahtaj Cooking Oil Stand Up Pouch 1X5 Ltr,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/shahtaj-cooking-oil-stand-up-pouch-1x5-ltr/67172080,"Rs. 2,750",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
