store,category,name,price,cleaned_category,product-link,image_url,standardized_unit,quantity,cleaned_name
al-fateh,dry_fruits_&_dates---fateh,A ONE SUPARI PAN MASALA 130 GM,Rs.195,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-supari-pan-masala-150-gm,,g,130.0,a one supari pan masala
al-fateh,dry_fruits_&_dates---fateh,RASIN SUNDER KHANI QANDHARI 100 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/rasin-sunder-khani-qandhari-100-gm,,g,100.0,rasin sunder khani qandhari
al-fateh,dry_fruits_&_dates---fateh,A ONE MEETHA PAN MASALA 135 GM,Rs.195,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-meetha-pan-masala-135-gm,,g,135.0,a one meetha pan masala
al-fateh,dry_fruits_&_dates---fateh,AL RUBAB SHAHI SWAD CLASSIC 100GM,Rs.400,Dry Fruits & Nuts,https://alfatah.pk/products/al-rubab-shahi-swad-classic-100gm,,g,100.0,al rubab shahi swad classic
al-fateh,dry_fruits_&_dates---fateh,MADINA KALMA DATES 800 GM PACK,"Rs.2,195",Dry Fruits & Nuts,https://alfatah.pk/products/madina-kalma-dates-800-gm-pack,,g,800.0,madina kalma dates pack
al-fateh,dry_fruits_&_dates---fateh,MADINA MUBROOM DATES 800 GM PACK,"Rs.3,995",Dry Fruits & Nuts,https://alfatah.pk/products/madina-mubroom-dates-800-gm-pack,,g,800.0,madina mubroom dates pack
al-fateh,dry_fruits_&_dates---fateh,BEST CRUSHED ALMOND 100 GM,Rs.475,Dry Fruits & Nuts,https://alfatah.pk/products/best-crushed-almond-100-gm,,g,100.0,best crushed almond
al-fateh,dry_fruits_&_dates---fateh,AONE BADAM PAN MASALA JAR 150 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/aone-badam-pan-masala-jar-150-gm,,g,150.0,aone badam pan masala jar
al-fateh,dry_fruits_&_dates---fateh,A ONE DELUXE PAN MASALA 150 GM,Rs.195,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-deluxe-pan-masala-150-gm,,g,150.0,a one deluxe pan masala
al-fateh,dry_fruits_&_dates---fateh,MADINA AJWA DATES 800 GM PACK,"Rs.3,595",Dry Fruits & Nuts,https://alfatah.pk/products/madina-ajwa-dates-800-gm-pack,,g,800.0,madina ajwa dates pack
al-fateh,dry_fruits_&_dates---fateh,BEST COCONUT CUBE 200 GM,Rs.595,Dry Fruits & Nuts,https://alfatah.pk/products/best-coconut-cube-200-gm,,g,200.0,best coconut cube
al-fateh,dry_fruits_&_dates---fateh,A ONE GOTA PAN MASALA JAR 150 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-gota-pan-masala-jar-150-gm,,g,150.0,a one gota pan masala jar
al-fateh,dry_fruits_&_dates---fateh,BEST COCONUT CUBE 100 GM,Rs.285,Dry Fruits & Nuts,https://alfatah.pk/products/best-coconut-cube-100-gm,,g,100.0,best coconut cube
al-fateh,dry_fruits_&_dates---fateh,COCONUT WHOLE 100 GM,Rs.180,Dry Fruits & Nuts,https://alfatah.pk/products/coconut-whole-100-gm,,g,100.0,coconut whole
al-fateh,dry_fruits_&_dates---fateh,BLUE RIBBON CLASSIC ZERO SUPARI BOX 100 GM,Rs.125,Dry Fruits & Nuts,https://alfatah.pk/products/freshly-royal-khajoor-mouth-freshener-box-110-gm,,g,100.0,blue ribbon classic zero supari box
al-fateh,dry_fruits_&_dates---fateh,BEST CRUSHED ALMOND 200 GM,Rs.945,Dry Fruits & Nuts,https://alfatah.pk/products/best-crushed-almond-200-gm,,g,200.0,best crushed almond
al-fateh,dry_fruits_&_dates---fateh,BEST CRUSHED PISTA 100 GM,"Rs.1,045",Dry Fruits & Nuts,https://alfatah.pk/products/best-crushed-pista-100-gm,,g,100.0,best crushed pista
al-fateh,dry_fruits_&_dates---fateh,AONE MIX PAN MASALA JAR 150GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/aone-mix-pan-masala-jar-150gm,,g,150.0,aone mix pan masala jar
al-fateh,dry_fruits_&_dates---fateh,A ONE GOLD PAN MASALA 150GM,Rs.195,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-gold-pan-masala-150gm,,g,150.0,a one gold pan masala
al-fateh,dry_fruits_&_dates---fateh,PAL PAL MEETHA PAN MASALA JAR 150 GM,Rs.160,Dry Fruits & Nuts,https://alfatah.pk/products/pal-pal-meetha-pan-masala-jar-150-gm,,g,150.0,pal pal meetha pan masala jar
al-fateh,dry_fruits_&_dates---fateh,A ONE SUGAR COATED SOUNF 185 GM,Rs.195,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-sugar-coated-sounf-230-gm,,g,185.0,a one sugar coated sounf
al-fateh,dry_fruits_&_dates---fateh,PAL PAL MEETHA PAN MASALA BOX 48 PC,Rs.240,Dry Fruits & Nuts,https://alfatah.pk/products/pal-pal-meetha-pan-masala-box-48-pc,,pieces,48.0,pal pal meetha pan masala box
al-fateh,dry_fruits_&_dates---fateh,ANNAB 100 GM,Rs.115,Dry Fruits & Nuts,https://alfatah.pk/products/annab-100-gm,,g,100.0,annab
al-fateh,dry_fruits_&_dates---fateh,MADINA SUKARI DATE 500 GM PACK,"Rs.1,595",Dry Fruits & Nuts,https://alfatah.pk/products/madina-sukari-date-500-gm-pack,,g,500.0,madina sukari date pack
al-fateh,dry_fruits_&_dates---fateh,ECO COCONUT POWDER 100GM,Rs.295,Dry Fruits & Nuts,https://alfatah.pk/products/eco-coconut-powder-100gm,,g,100.0,eco coconut powder
al-fateh,dry_fruits_&_dates---fateh,BLACK CURRENT 100 GM,Rs.300,Dry Fruits & Nuts,https://alfatah.pk/products/black-current-100-gm,,g,100.0,black current
al-fateh,dry_fruits_&_dates---fateh,MUNTAHA MOUTH FRESHNER WHEEL BEATLE 150 GM,"Rs.1,220",Dry Fruits & Nuts,https://alfatah.pk/products/muntaha-mouth-freshner-wheel-beatle-150-gm,,g,150.0,muntaha mouth freshner wheel beatle
al-fateh,dry_fruits_&_dates---fateh,COCONUT LOOSE 100 GM,Rs.200,Dry Fruits & Nuts,https://alfatah.pk/products/coconut-loose-100-gm,,g,100.0,coconut loose
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA COCONUT POWDER 200GM,Rs.425,Dry Fruits & Nuts,https://alfatah.pk/products/maizban-pan-masala-coconut-powder-200gm,,g,200.0,maizban pan masala coconut powder
al-fateh,dry_fruits_&_dates---fateh,A ONE CHANA MAKHANA MIX JAR 125 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/aone-chana-makhana-mix-jar-165-gm,,g,125.0,a one chana makhana mix jar
al-fateh,dry_fruits_&_dates---fateh,NUTRI MAHARAJA PAN MASALA POUCH 60 GM,Rs.235,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-maharaja-pan-masala-pouch-60-gm,,g,60.0,nutri maharaja pan masala pouch
al-fateh,dry_fruits_&_dates---fateh,NUTRI WARQI PAN MASALA POUCH 70 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-warqi-pan-masala-pouch-70-gm,,g,70.0,nutri warqi pan masala pouch
al-fateh,dry_fruits_&_dates---fateh,SHAHI DELUXE MOUTH FRESHNER 48 PC 115 GM,Rs.240,Dry Fruits & Nuts,https://alfatah.pk/products/shahi-deluxe-mouth-freshner-48-2-pc-170-gm,,pieces,48.0,shahi deluxe mouth freshner
