store,category,name,product-link,image_url,cleaned_category,cleaned_name,cleaned_quantity,cleaned_unit,cleaned_price,price_per_unit,predicted_price_elastic_net,predicted_price_linear_regression,predicted_price_random_forest
al-fateh,baby_food---fateh,APTAMIL ADVANCE JUNIOR MILK POWDER STAGE 3 TIN 900 GM,https://alfatah.pk/products/aptamil-advance-junior-milk-powder-stage-3-tin-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2023-09-08T112233.932_c2a67599-27e2-465c-95f7-28aeed80c046.png?v=1703088315,Baby Food,aptamil advance junior milk powder stage 3 tin,900.0,g,6995.0,7.772222222222222,6941.517393451699,6966.443515146712,6959.425275143194
al-fateh,baby_food---fateh,NESTLE MILK POWDER NAN 1 OPTIPRO 600 GM,https://alfatah.pk/products/nestle-milk-powder-nan-1-optipro-600-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_13_8277171c-7b69-4464-8428-f2cc61052c00.png?v=1749620401,Baby Food,nestle milk powder nan 1 optipro,600.0,g,2345.0,3.908333333333333,2302.7340837122897,2300.3719788288686,2365.704447376951
al-fateh,baby_food---fateh,NESTLE CERELAC APPLE PEAR & STRAWBERRY 175GM,https://alfatah.pk/products/nestle-cerelac-apple-pear-strawberry-175gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/APS-F.jpg?v=1749628552,Baby Food,nestle cerelac apple pear & strawberry,175.0,g,525.0,3.0,527.8398337653896,526.0974410814013,531.6041697681122
al-fateh,baby_food---fateh,APTAMIL ADVANCE MILK POWDER STAGE 2 TIN 900 GM,https://alfatah.pk/products/aptamil-advance-milk-powder-stage-2-tin-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_11_a8e947d6-1482-4215-8467-337ef5d5955c.png?v=1749722630,Baby Food,aptamil advance milk powder stage 2 tin,900.0,g,6995.0,7.772222222222222,6941.517393451699,6966.443515146712,6959.425275143194
al-fateh,baby_food---fateh,NESTLE NIDO MILK POWDER 3PLUS GROWING UP FORMULA 375 GM,https://alfatah.pk/products/nestle-nido-milk-powder-3plus-growing-up-formula-375-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_5_d9d309df-68c0-4c81-992a-0f2708be52bb.png?v=1749629641,Baby Food,nestle nido milk powder 3plus growing up formula,375.0,g,1095.0,2.92,1099.650617034998,1096.3560703577245,1092.724785689783
al-fateh,baby_food---fateh,NESTLE LACTOGEN 1 MILK POWDER GENTLE START 800 GM,https://alfatah.pk/products/nestle-lactogen-1-milk-powder-gentle-start-800-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T112757.992.png?v=1749623289,Baby Food,nestle lactogen 1 milk powder gentle start,800.0,g,2745.0,3.43125,2711.816832635575,2707.417470923615,2704.3415148452714
al-fateh,baby_food---fateh,NESTLE MILK POWDER NANGROW 3 OPTIPRO 300 GM,https://alfatah.pk/products/nestle-milk-powder-nangrow-3-optipro-300-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_7_dc4af5f1-c69f-4c08-af67-b337d1043551.png?v=1749722489,Baby Food,nestle milk powder nangrow 3 optipro,300.0,g,1175.0,3.9166666666666665,1157.047684313698,1155.3963192128003,1172.6746144504075
al-fateh,baby_food---fateh,MEIJI FU FOLLOW UP FORMULA TIN 2 400 GM,https://alfatah.pk/products/meiji-fu-follow-up-formula-2-400-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4902705127050_1_9e988e71-ad82-4a83-a2d1-72b9ae853fae.jpg?v=1716287932,Baby Food,meiji fu follow up formula tin 2,400.0,g,2245.0,5.6125,2201.792280058864,2203.9378690650888,2249.884320772448
al-fateh,baby_food---fateh,NESTLE CERELAC WHEAT 175 GM,https://alfatah.pk/products/nestle-cerelac-wheat-175-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/Wheat-F.jpg?v=1749628790,Baby Food,nestle cerelac wheat,175.0,g,440.0,2.5142857142857142,451.50592839746565,449.576086293314,440.1025359482125
al-fateh,baby_food---fateh,SIMILAC MILK POWDER TOTAL COMFORT 2 360 GM,https://alfatah.pk/products/similac-milk-powder-total-comfort-2-360-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_3_3a76f9a6-1fa6-4b97-9f9d-00d779c32988.png?v=1749722241,Baby Food,similac milk powder total comfort 2,360.0,g,3045.0,8.458333333333334,3051.293112055932,3062.3099730947565,1727.3954755385369
